gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Attendance,Hours_Studied,Final_Score
male,group C,some high school,standard,none,73,66,66,67,1.8,68.3
male,group C,some college,free/reduced,completed,50,48,53,75,7.3,50.3
male,group D,associate's degree,standard,none,75,68,64,65,1.7,69.0
male,group D,associate's degree,free/reduced,none,75,66,73,78,8.4,71.3
male,group C,high school,standard,none,70,56,51,75,7.4,59.0
male,group D,some high school,standard,completed,89,88,82,84,1.7,86.3
female,group C,some college,standard,completed,67,81,79,91,1.8,75.7
female,group D,high school,standard,none,78,81,80,67,9.9,79.7
female,group A,some high school,free/reduced,none,59,73,69,60,4.4,67.0
female,group B,associate's degree,standard,none,73,83,76,65,4.3,77.3
male,group A,some high school,free/reduced,none,79,82,73,67,8.3,78.0
female,group C,some high school,standard,completed,67,74,77,89,9.5,72.7
male,group D,some college,free/reduced,none,69,66,60,70,9.9,65.0
male,group C,high school,standard,completed,86,81,80,91,7.8,82.3
male,group B,high school,standard,none,47,46,42,77,4.4,45.0
male,group B,associate's degree,standard,none,81,73,72,76,1.8,75.3
female,group C,some college,free/reduced,completed,64,85,85,88,8.0,78.0
female,group E,some college,standard,none,100,92,97,66,6.0,96.3
female,group C,associate's degree,free/reduced,none,65,77,74,78,4.8,72.0
male,group C,some college,free/reduced,none,65,58,49,77,9.2,57.3
female,group C,associate's degree,free/reduced,none,53,61,62,62,2.0,58.7
male,group C,bachelor's degree,free/reduced,none,37,56,47,76,5.4,46.7
female,group D,bachelor's degree,standard,none,79,89,89,72,1.1,85.7
male,group D,associate's degree,free/reduced,none,53,54,48,69,5.2,51.7
female,group E,bachelor's degree,standard,none,100,100,100,66,1.5,100.0
male,group B,high school,standard,completed,72,65,68,98,2.1,68.3
male,group C,bachelor's degree,free/reduced,none,53,58,55,68,2.1,55.3
male,group B,some college,free/reduced,none,54,54,45,66,6.8,51.0
female,group E,some college,standard,none,71,70,76,68,7.7,72.3
female,group C,some college,free/reduced,none,77,90,91,80,6.3,86.0
male,group A,bachelor's degree,standard,completed,75,58,62,97,9.7,65.0
female,group C,some college,standard,none,84,87,91,77,4.4,87.3
female,group D,associate's degree,free/reduced,none,26,31,38,70,3.6,31.7
male,group A,high school,free/reduced,completed,72,67,65,78,8.8,68.0
female,group A,high school,free/reduced,completed,77,88,85,95,3.0,83.3
male,group C,some college,standard,none,91,74,76,68,9.7,80.3
female,group C,associate's degree,standard,completed,83,85,90,89,1.1,86.0
female,group C,high school,standard,none,63,69,74,69,9.7,68.7
female,group C,associate's degree,standard,completed,68,86,84,88,1.4,79.3
female,group D,some high school,standard,none,59,67,61,67,9.0,62.3
female,group B,associate's degree,standard,completed,90,90,91,96,5.7,90.3
female,group D,bachelor's degree,standard,completed,71,76,83,82,9.9,76.7
male,group E,bachelor's degree,standard,completed,76,62,66,95,1.7,68.0
male,group D,associate's degree,standard,none,80,68,72,68,6.0,73.3
female,group D,master's degree,standard,none,55,64,70,82,9.7,63.0
male,group E,associate's degree,standard,none,76,71,67,81,5.7,71.3
male,group B,high school,standard,completed,73,71,68,86,6.7,70.7
female,group D,associate's degree,free/reduced,none,52,59,56,64,7.3,55.7
male,group C,some college,free/reduced,none,68,68,61,71,5.1,65.7
male,group A,high school,standard,none,59,52,46,81,6.6,52.3
female,group B,associate's degree,standard,none,49,52,54,77,6.3,51.7
male,group C,high school,standard,none,70,74,71,67,9.1,71.7
male,group D,some college,free/reduced,none,61,47,56,68,1.4,54.7
female,group C,associate's degree,free/reduced,none,60,75,74,76,3.5,69.7
male,group B,some high school,standard,completed,64,53,57,96,9.6,58.0
male,group A,associate's degree,free/reduced,completed,79,82,82,94,9.0,81.0
female,group A,associate's degree,free/reduced,none,65,85,76,75,5.1,75.3
female,group C,associate's degree,standard,none,64,64,70,77,6.6,66.0
female,group C,some college,standard,none,83,83,90,83,3.5,85.3
female,group C,bachelor's degree,standard,none,81,88,90,81,2.7,86.3
female,group B,high school,standard,none,54,64,68,68,5.2,62.0
male,group D,high school,standard,completed,68,64,66,91,4.2,66.0
female,group C,some college,standard,none,54,48,52,73,6.3,51.3
female,group D,some college,free/reduced,completed,59,78,76,93,1.7,71.0
female,group B,some high school,standard,none,66,69,68,76,9.8,67.7
male,group E,some college,standard,none,76,71,72,73,9.9,73.0
female,group D,master's degree,standard,none,74,79,82,71,7.3,78.3
female,group B,associate's degree,standard,completed,94,87,92,93,5.8,91.0
male,group C,some college,free/reduced,none,63,61,54,79,3.8,59.3
female,group E,associate's degree,standard,completed,95,89,92,98,8.3,92.0
female,group D,master's degree,free/reduced,none,40,59,54,74,7.2,51.0
female,group B,some high school,standard,none,82,82,80,80,2.5,81.3
male,group A,high school,standard,none,68,70,66,85,9.2,68.0
male,group B,bachelor's degree,free/reduced,none,55,59,54,64,8.4,56.0
male,group C,master's degree,standard,none,79,78,77,67,9.5,78.0
female,group C,bachelor's degree,standard,none,86,92,87,76,7.5,88.3
male,group D,some college,standard,none,76,71,73,84,6.5,73.3
male,group A,some high school,standard,none,64,50,43,85,4.8,52.3
male,group D,some high school,free/reduced,none,62,49,52,63,9.4,54.3
female,group B,some high school,standard,completed,54,61,62,100,8.8,59.0
female,group B,master's degree,free/reduced,completed,77,97,94,90,1.4,89.3
female,group C,some high school,standard,completed,76,87,85,86,1.2,82.7
female,group D,some college,standard,none,74,89,84,77,4.4,82.3
female,group E,some college,standard,completed,66,74,73,100,8.3,71.0
female,group D,some high school,standard,completed,66,78,78,89,9.9,74.0
female,group B,high school,free/reduced,completed,67,78,79,81,2.4,74.7
male,group D,some college,standard,none,71,49,52,78,6.3,57.3
female,group C,associate's degree,standard,none,91,86,84,69,4.4,87.0
male,group D,bachelor's degree,standard,none,69,58,57,67,9.7,61.3
male,group C,master's degree,free/reduced,none,54,59,50,70,8.6,54.3
male,group C,high school,standard,completed,53,52,49,90,8.5,51.3
male,group E,some college,standard,none,68,60,59,82,5.2,62.3
male,group C,some high school,free/reduced,completed,56,61,60,89,4.7,59.0
female,group C,high school,free/reduced,none,36,53,43,71,3.5,44.0
female,group D,bachelor's degree,free/reduced,none,29,41,47,68,1.5,39.0
female,group C,associate's degree,standard,none,62,74,70,74,8.8,68.7
female,group C,associate's degree,standard,completed,68,67,73,91,8.3,69.3
female,group C,some high school,standard,none,47,54,53,81,10.0,51.3
male,group E,associate's degree,standard,completed,62,61,58,85,10.0,60.3
female,group E,associate's degree,standard,completed,79,88,94,86,6.0,87.0
male,group B,high school,standard,completed,73,69,68,93,7.9,70.0
female,group C,bachelor's degree,free/reduced,completed,66,83,83,87,9.5,77.3
male,group C,associate's degree,standard,completed,51,60,58,87,8.6,56.3
female,group D,high school,standard,none,51,66,62,74,3.2,59.7
male,group E,bachelor's degree,standard,completed,85,66,71,88,5.1,74.0
male,group A,associate's degree,standard,completed,97,92,86,97,2.2,91.7
male,group C,high school,standard,completed,75,69,68,81,9.6,70.7
male,group D,associate's degree,free/reduced,completed,79,82,80,79,6.5,80.3
female,group C,associate's degree,standard,none,81,77,79,69,3.1,79.0
female,group D,associate's degree,standard,none,82,95,89,70,7.0,88.7
female,group D,master's degree,standard,none,64,63,66,83,6.6,64.3
male,group E,some high school,free/reduced,completed,78,83,80,82,4.2,80.3
female,group A,some high school,standard,completed,92,100,97,95,2.0,96.3
male,group C,high school,standard,completed,72,67,64,92,7.0,67.7
female,group C,high school,free/reduced,none,62,67,64,60,5.7,64.3
male,group C,master's degree,standard,none,79,72,69,84,8.0,73.3
male,group C,some high school,free/reduced,none,79,76,65,76,5.7,73.3
male,group B,bachelor's degree,free/reduced,completed,87,90,88,81,8.7,88.3
female,group B,associate's degree,standard,none,40,48,50,77,6.0,46.0
male,group D,some college,free/reduced,none,77,62,64,63,6.0,67.7
male,group E,associate's degree,standard,none,53,45,40,68,8.9,46.0
female,group C,some college,free/reduced,none,32,39,33,65,4.6,34.7
female,group C,associate's degree,standard,completed,55,72,79,98,2.2,68.7
male,group C,master's degree,free/reduced,none,61,67,66,71,1.3,64.7
female,group B,associate's degree,free/reduced,none,53,70,70,66,7.8,64.3
male,group D,some high school,standard,none,73,66,62,74,6.6,67.0
female,group D,some college,standard,completed,74,75,79,98,7.3,76.0
female,group C,some college,standard,none,63,74,74,71,2.9,70.3
male,group C,bachelor's degree,standard,completed,96,90,92,82,2.2,92.7
female,group D,some college,free/reduced,completed,63,80,80,87,1.1,74.3
male,group B,bachelor's degree,free/reduced,none,48,51,46,72,4.2,48.3
male,group B,associate's degree,standard,none,48,43,45,82,6.3,45.3
female,group E,bachelor's degree,free/reduced,completed,92,100,100,94,4.5,97.3
female,group D,master's degree,free/reduced,completed,61,71,78,82,4.9,70.0
male,group B,high school,free/reduced,none,63,48,47,68,9.1,52.7
male,group D,bachelor's degree,free/reduced,none,68,68,67,66,4.1,67.7
male,group B,some college,standard,completed,71,75,70,80,5.6,72.0
male,group A,bachelor's degree,standard,none,91,96,92,67,8.1,93.0
female,group C,some college,standard,none,53,62,56,77,4.6,57.0
female,group C,high school,free/reduced,completed,50,66,64,91,6.6,60.0
female,group E,high school,standard,none,74,81,71,65,8.8,75.3
male,group A,associate's degree,free/reduced,completed,40,55,53,80,9.5,49.3
male,group A,some college,standard,completed,61,51,52,100,2.3,54.7
female,group B,high school,standard,none,81,91,89,70,9.3,87.0
female,group B,some college,free/reduced,completed,48,56,58,86,5.4,54.0
female,group D,master's degree,standard,none,53,61,68,77,3.3,60.7
female,group D,some high school,standard,none,81,97,96,77,5.1,91.3
female,group E,some high school,standard,none,77,79,80,79,9.8,78.7
female,group D,bachelor's degree,free/reduced,none,63,73,78,80,5.4,71.3
female,group D,associate's degree,standard,completed,73,75,80,95,4.0,76.0
female,group D,some college,standard,none,69,77,77,85,6.7,74.3
female,group C,associate's degree,standard,none,65,76,76,75,3.2,72.3
female,group A,high school,standard,none,55,73,73,69,1.7,67.0
female,group C,bachelor's degree,free/reduced,none,44,63,62,63,2.2,56.3
female,group C,some college,standard,none,54,64,65,67,2.2,61.0
female,group A,some high school,standard,none,48,66,65,83,2.4,59.7
male,group C,some college,free/reduced,none,58,57,54,79,2.2,56.3
male,group A,some high school,standard,none,71,62,50,82,6.8,61.0
male,group E,bachelor's degree,standard,none,68,68,64,79,2.6,66.7
female,group E,high school,standard,none,74,76,73,73,4.1,74.3
female,group C,bachelor's degree,standard,completed,92,100,99,96,9.1,97.0
female,group C,bachelor's degree,standard,completed,56,79,72,93,5.3,69.0
male,group B,high school,free/reduced,none,30,24,15,74,7.0,23.0
male,group A,some high school,standard,none,53,54,48,65,2.6,51.7
female,group D,high school,standard,none,69,77,73,85,2.7,73.0
female,group D,some high school,standard,none,65,82,81,67,1.4,76.0
female,group D,master's degree,standard,none,54,60,63,80,2.5,59.0
female,group C,high school,standard,none,29,29,30,75,3.5,29.3
female,group E,some college,standard,none,76,78,80,76,2.6,78.0
male,group D,high school,free/reduced,none,60,57,51,69,1.8,56.0
male,group D,master's degree,free/reduced,completed,84,89,90,90,2.1,87.7
male,group C,some high school,standard,none,75,72,62,72,5.1,69.7
female,group C,associate's degree,standard,none,85,84,82,70,2.9,83.7
female,group C,master's degree,free/reduced,none,40,58,54,71,4.3,50.7
female,group E,some college,standard,none,61,64,62,85,5.5,62.3
female,group B,associate's degree,standard,none,58,63,65,72,7.2,62.0
male,group D,some college,free/reduced,completed,69,60,63,78,1.4,64.0
female,group C,some college,standard,none,58,59,66,72,8.2,61.0
male,group C,bachelor's degree,standard,completed,94,90,91,97,6.7,91.7
female,group C,associate's degree,standard,none,65,77,74,69,1.7,72.0
female,group A,associate's degree,standard,none,82,93,93,73,8.9,89.3
female,group C,high school,standard,none,60,68,72,68,9.3,66.7
female,group E,bachelor's degree,standard,none,37,45,38,81,1.5,40.0
male,group D,bachelor's degree,standard,none,88,78,83,73,3.5,83.0
male,group D,master's degree,standard,none,95,81,84,65,8.3,86.7
male,group C,associate's degree,free/reduced,completed,65,73,68,95,7.7,68.7
female,group C,high school,free/reduced,none,35,61,54,79,2.7,50.0
male,group B,bachelor's degree,free/reduced,none,62,63,56,72,2.9,60.3
male,group C,high school,free/reduced,completed,58,51,52,90,4.3,53.7
male,group A,some college,standard,completed,100,96,86,92,5.4,94.0
female,group E,bachelor's degree,free/reduced,none,61,58,62,73,6.6,60.3
male,group D,some college,standard,completed,100,97,99,82,4.3,98.7
male,group B,associate's degree,free/reduced,completed,69,70,63,80,5.2,67.3
male,group D,associate's degree,standard,none,61,48,46,82,7.7,51.7
male,group D,some college,free/reduced,none,49,57,46,78,1.3,50.7
female,group C,some high school,standard,completed,44,51,55,84,3.3,50.0
male,group D,some college,standard,none,67,64,70,79,7.4,67.0
male,group B,high school,standard,none,79,60,65,66,9.1,68.0
female,group B,bachelor's degree,standard,completed,66,74,81,89,5.6,73.7
female,group C,high school,standard,none,75,88,85,82,5.8,82.7
male,group D,some high school,standard,none,84,84,80,77,2.0,82.7
male,group A,high school,standard,none,71,74,64,69,5.0,69.7
female,group B,high school,free/reduced,completed,67,80,81,75,5.8,76.0
female,group D,some high school,standard,completed,80,92,88,80,3.2,86.7
male,group E,some college,standard,none,86,76,74,82,3.4,78.7
female,group D,associate's degree,standard,none,76,74,73,79,4.4,74.3
male,group D,high school,standard,none,41,52,51,81,1.2,48.0
female,group D,associate's degree,free/reduced,completed,74,88,90,85,3.9,84.0
female,group B,some high school,free/reduced,none,72,81,79,80,2.9,77.3
female,group E,high school,standard,completed,74,79,80,96,3.9,77.7
male,group B,high school,standard,none,70,65,60,77,2.1,65.0
female,group B,bachelor's degree,standard,completed,65,81,81,80,9.0,75.7
female,group D,associate's degree,standard,none,59,70,65,66,6.3,64.7
female,group E,high school,free/reduced,none,64,62,68,68,7.1,64.7
female,group B,high school,standard,none,50,53,55,67,8.1,52.7
female,group D,some college,standard,completed,69,79,81,80,5.5,76.3
male,group C,some high school,free/reduced,completed,51,56,53,95,1.8,53.3
female,group A,high school,standard,completed,68,80,76,95,5.8,74.7
female,group D,some college,standard,completed,85,86,98,85,6.3,89.7
female,group A,associate's degree,standard,completed,65,70,74,96,7.7,69.7
female,group B,some high school,standard,none,73,79,79,69,4.9,77.0
female,group B,some college,standard,none,62,67,67,69,2.1,65.3
male,group C,associate's degree,free/reduced,none,77,67,64,65,3.6,69.3
male,group D,some high school,standard,none,69,66,61,67,4.3,65.3
female,group D,associate's degree,free/reduced,none,43,60,58,80,6.8,53.7
male,group D,associate's degree,standard,none,90,87,85,69,6.1,87.3
male,group C,some college,free/reduced,none,74,77,73,80,4.2,74.7
male,group C,some high school,standard,none,73,66,63,69,9.9,67.3
female,group D,some college,free/reduced,none,55,71,69,69,6.5,65.0
female,group C,high school,standard,none,65,69,67,74,3.1,67.0
male,group D,associate's degree,standard,none,80,63,63,83,1.9,68.7
female,group C,some high school,free/reduced,completed,50,60,60,91,2.4,56.7
female,group C,some college,free/reduced,completed,63,73,71,95,3.2,69.0
female,group B,bachelor's degree,free/reduced,none,77,85,87,73,2.4,83.0
male,group C,some college,standard,none,73,74,61,73,2.7,69.3
male,group D,associate's degree,standard,completed,81,72,77,93,3.6,76.7
female,group C,high school,free/reduced,none,66,76,68,60,2.6,70.0
male,group D,associate's degree,free/reduced,none,52,57,50,78,9.1,53.0
female,group C,some college,standard,none,69,78,76,77,1.7,74.3
female,group C,associate's degree,standard,completed,65,84,84,92,5.7,77.7
female,group D,high school,standard,completed,69,77,78,83,4.7,74.7
female,group B,some college,standard,completed,50,64,66,80,9.8,60.0
female,group E,some college,standard,completed,73,78,76,96,2.0,75.7
female,group C,some high school,standard,completed,70,82,76,87,4.6,76.0
male,group D,associate's degree,free/reduced,none,81,75,78,61,9.7,78.0
male,group D,some college,free/reduced,none,63,61,60,67,8.8,61.3
female,group D,high school,standard,none,67,72,74,71,8.4,71.0
male,group B,high school,standard,none,60,68,60,66,3.3,62.7
male,group B,high school,standard,none,62,55,54,67,2.5,57.0
female,group C,some high school,free/reduced,completed,29,40,44,92,7.0,37.7
male,group B,some college,standard,completed,62,66,68,91,9.4,65.3
female,group E,master's degree,standard,completed,94,99,100,80,6.0,97.7
male,group E,some college,standard,completed,85,75,68,91,6.1,76.0
male,group D,associate's degree,free/reduced,none,77,78,73,64,3.5,76.0
male,group A,high school,free/reduced,none,53,58,44,76,7.9,51.7
male,group E,some college,free/reduced,none,93,90,83,75,2.7,88.7
female,group C,associate's degree,standard,none,49,53,53,79,3.9,51.7
female,group E,associate's degree,free/reduced,none,73,76,78,74,4.8,75.7
female,group C,bachelor's degree,free/reduced,completed,66,74,81,79,5.6,73.7
female,group D,associate's degree,standard,none,77,77,73,85,3.2,75.7
female,group C,some high school,standard,none,49,63,56,78,2.0,56.0
female,group D,some college,free/reduced,none,79,89,86,61,6.5,84.7
female,group C,associate's degree,standard,completed,75,82,90,90,3.6,82.3
female,group A,bachelor's degree,standard,none,59,72,70,83,6.2,67.0
female,group D,associate's degree,standard,completed,57,78,79,86,2.4,71.3
male,group C,high school,free/reduced,none,66,66,59,65,5.3,63.7
female,group E,bachelor's degree,standard,completed,79,81,82,81,5.8,80.7
female,group B,some high school,standard,none,57,67,72,70,1.5,65.3
male,group A,bachelor's degree,standard,completed,87,84,87,97,4.0,86.0
female,group D,some college,standard,none,63,64,67,66,2.2,64.7
female,group B,some high school,free/reduced,completed,59,63,64,92,1.6,62.0
male,group A,bachelor's degree,free/reduced,none,62,72,65,74,9.9,66.3
male,group D,high school,standard,none,46,34,36,83,3.9,38.7
male,group C,some college,standard,none,66,59,52,66,8.3,59.0
male,group D,high school,standard,none,89,87,79,84,3.3,85.0
female,group D,associate's degree,free/reduced,completed,42,61,58,80,7.1,53.7
male,group C,some college,standard,completed,93,84,90,80,7.8,89.0
female,group E,some high school,standard,completed,80,85,85,94,6.4,83.3
female,group D,some college,standard,none,98,100,99,74,5.2,99.0
male,group D,master's degree,standard,none,81,81,84,83,4.7,82.0
female,group B,some high school,standard,completed,60,70,74,96,4.1,68.0
female,group B,associate's degree,free/reduced,completed,76,94,87,79,9.4,85.7
male,group C,associate's degree,standard,completed,73,78,72,83,8.5,74.3
female,group C,associate's degree,standard,completed,96,96,99,89,9.7,97.0
female,group C,high school,standard,none,76,76,74,81,2.1,75.3
male,group E,associate's degree,free/reduced,completed,91,73,80,84,7.6,81.3
female,group C,some college,free/reduced,none,62,72,70,76,9.4,68.0
male,group D,some high school,free/reduced,completed,55,59,59,94,2.6,57.7
female,group B,some high school,free/reduced,completed,74,90,88,79,1.6,84.0
male,group C,high school,standard,none,50,48,42,66,7.7,46.7
male,group B,some college,standard,none,47,43,41,70,6.2,43.7
male,group E,some college,standard,completed,81,74,71,100,8.6,75.3
female,group E,associate's degree,standard,completed,65,75,77,81,2.3,72.3
male,group E,some high school,standard,completed,68,51,57,92,8.2,58.7
female,group D,high school,free/reduced,none,73,92,84,70,2.8,83.0
male,group C,some college,standard,none,53,39,37,75,2.5,43.0
female,group B,associate's degree,free/reduced,completed,68,77,80,90,2.5,75.0
male,group A,some high school,free/reduced,none,55,46,43,70,8.3,48.0
female,group C,some college,standard,completed,87,89,94,98,7.0,90.0
male,group D,some high school,standard,none,55,47,44,79,5.7,48.7
female,group E,some college,free/reduced,none,53,58,57,75,4.2,56.0
male,group C,master's degree,standard,none,67,57,59,75,8.9,61.0
male,group C,associate's degree,standard,none,92,79,84,80,4.5,85.0
female,group B,some college,free/reduced,completed,53,66,73,82,8.3,64.0
male,group D,associate's degree,standard,none,81,71,73,68,5.0,75.0
male,group C,high school,free/reduced,none,61,60,55,67,4.4,58.7
male,group D,bachelor's degree,standard,none,80,73,72,68,5.2,75.0
female,group A,associate's degree,free/reduced,none,37,57,56,62,3.7,50.0
female,group C,high school,standard,none,81,84,82,67,7.7,82.3
female,group C,associate's degree,standard,completed,59,73,72,97,5.5,68.0
male,group B,some college,free/reduced,none,55,55,47,78,3.1,52.3
male,group D,associate's degree,standard,none,72,79,74,83,9.1,75.0
male,group D,high school,standard,none,69,75,71,85,4.5,71.7
male,group C,some college,standard,none,69,64,68,69,5.9,67.0
female,group C,bachelor's degree,free/reduced,none,50,60,59,77,9.2,56.3
male,group B,some college,standard,completed,87,84,86,89,6.6,85.7
male,group D,some high school,standard,completed,71,69,68,100,2.1,69.3
male,group E,some college,standard,none,68,72,65,70,9.5,68.3
male,group C,master's degree,free/reduced,completed,79,77,75,75,6.6,77.0
female,group C,some high school,standard,completed,77,90,85,84,4.0,84.0
male,group C,associate's degree,free/reduced,none,58,55,53,68,2.3,55.3
female,group E,associate's degree,standard,none,84,95,92,76,8.1,90.3
male,group D,some college,standard,none,55,58,52,78,6.6,55.0
male,group E,bachelor's degree,free/reduced,completed,70,68,72,76,5.8,70.0
female,group D,some college,free/reduced,completed,52,59,65,91,9.0,58.7
male,group B,some college,standard,completed,69,77,77,93,8.1,74.3
female,group C,high school,free/reduced,none,53,72,64,72,2.4,63.0
female,group D,some high school,standard,none,48,58,54,73,3.8,53.3
male,group D,some high school,standard,completed,78,81,86,94,3.2,81.7
female,group B,high school,standard,none,62,62,63,79,7.7,62.3
male,group D,some college,standard,none,60,63,59,75,1.3,60.7
female,group B,high school,standard,none,74,72,72,80,6.1,72.7
female,group C,high school,standard,completed,58,75,77,96,7.9,70.0
male,group B,high school,standard,completed,76,62,60,83,8.9,66.0
female,group D,some high school,standard,none,68,71,75,65,4.1,71.3
male,group A,some college,free/reduced,none,58,60,57,67,8.4,58.3
male,group B,high school,standard,none,52,48,49,81,2.0,49.7
male,group D,bachelor's degree,standard,none,75,73,74,67,8.6,74.0
female,group B,some high school,free/reduced,completed,52,67,72,94,2.1,63.7
female,group C,bachelor's degree,free/reduced,none,62,78,79,74,4.6,73.0
male,group B,some college,standard,none,66,65,60,79,8.2,63.7
female,group B,some high school,free/reduced,none,49,58,55,73,2.3,54.0
female,group B,high school,standard,none,66,72,70,78,3.1,69.3
female,group C,some college,free/reduced,none,35,44,43,61,7.5,40.7
female,group A,some college,standard,completed,72,79,82,92,7.5,77.7
male,group E,associate's degree,standard,completed,94,85,82,93,6.8,87.0
female,group D,associate's degree,free/reduced,none,46,56,57,78,7.2,53.0
female,group B,master's degree,standard,none,77,90,84,71,5.9,83.7
female,group B,high school,free/reduced,completed,76,85,82,77,3.3,81.0
female,group C,associate's degree,standard,completed,52,59,62,94,4.1,57.7
male,group C,bachelor's degree,standard,completed,91,81,79,93,2.6,83.7
female,group B,some high school,standard,completed,32,51,44,90,9.2,42.3
female,group E,some high school,free/reduced,none,72,79,77,74,6.3,76.0
female,group B,some college,standard,none,19,38,32,77,4.6,29.7
male,group C,associate's degree,free/reduced,none,68,65,61,77,5.2,64.7
female,group C,master's degree,free/reduced,none,52,65,61,65,9.5,59.3
female,group B,high school,standard,none,48,62,60,67,2.4,56.7
female,group D,some college,free/reduced,none,60,66,70,78,6.3,65.3
male,group D,high school,free/reduced,none,66,74,69,74,5.6,69.7
male,group E,some high school,standard,completed,89,84,77,84,6.5,83.3
female,group B,high school,standard,none,42,52,51,74,1.2,48.3
female,group E,associate's degree,free/reduced,completed,57,68,73,81,8.8,66.0
male,group D,high school,standard,none,70,70,70,81,9.4,70.0
female,group E,associate's degree,free/reduced,none,70,84,81,66,6.1,78.3
male,group E,some college,standard,none,69,60,54,76,7.3,61.0
female,group C,associate's degree,standard,none,52,55,57,81,9.3,54.7
male,group C,some high school,standard,completed,67,73,68,92,7.4,69.3
male,group C,some high school,standard,completed,76,80,73,99,2.4,76.3
female,group E,associate's degree,standard,none,87,94,95,68,6.2,92.0
female,group B,some college,standard,none,82,85,87,74,6.5,84.7
female,group C,some college,standard,none,73,76,78,67,4.8,75.7
male,group A,some college,free/reduced,none,75,81,74,68,7.6,76.7
female,group D,some college,free/reduced,none,64,74,75,72,9.4,71.0
female,group E,high school,free/reduced,none,41,45,40,77,9.3,42.0
male,group C,high school,standard,none,90,75,69,79,5.1,78.0
male,group B,bachelor's degree,standard,none,59,54,51,68,2.0,54.7
male,group A,some high school,standard,none,51,31,36,79,9.9,39.3
male,group A,high school,free/reduced,none,45,47,49,61,8.6,47.0
female,group C,master's degree,standard,completed,54,64,67,94,2.1,61.7
male,group E,some high school,standard,completed,87,84,76,87,9.3,82.3
female,group C,high school,standard,none,72,80,83,72,8.8,78.3
male,group B,some high school,standard,completed,94,86,87,96,5.7,89.0
female,group A,bachelor's degree,standard,none,45,59,64,76,6.3,56.0
male,group D,bachelor's degree,free/reduced,completed,61,70,76,93,4.6,69.0
female,group B,high school,free/reduced,none,60,72,68,69,1.5,66.7
female,group C,some high school,standard,none,77,91,88,73,4.0,85.3
female,group A,some high school,standard,completed,85,90,92,84,8.2,89.0
female,group D,bachelor's degree,free/reduced,none,78,90,93,65,1.0,87.0
male,group E,some college,free/reduced,completed,49,52,51,94,4.0,50.7
female,group B,high school,free/reduced,none,71,87,82,61,4.6,80.0
female,group C,some high school,free/reduced,none,48,58,52,72,5.8,52.7
male,group C,high school,standard,none,62,67,58,70,9.3,62.3
female,group C,associate's degree,free/reduced,completed,56,68,70,79,4.1,64.7
female,group C,some high school,standard,none,65,69,76,65,4.1,70.0
female,group D,some high school,free/reduced,completed,69,86,81,95,7.6,78.7
male,group B,some high school,standard,none,68,54,53,85,5.1,58.3
female,group A,some college,free/reduced,none,61,60,57,65,3.0,59.3
female,group C,bachelor's degree,free/reduced,completed,74,86,89,80,5.1,83.0
male,group A,bachelor's degree,standard,none,64,60,58,80,2.3,60.7
female,group B,high school,standard,completed,77,82,89,83,2.6,82.7
male,group B,some college,standard,none,58,50,45,75,5.5,51.0
female,group C,high school,standard,completed,60,64,74,88,4.8,66.0
male,group E,high school,standard,none,73,64,57,67,9.2,64.7
female,group A,high school,standard,completed,75,82,79,98,4.3,78.7
male,group B,associate's degree,free/reduced,completed,58,57,53,82,6.2,56.0
female,group C,associate's degree,standard,none,66,77,73,69,6.7,72.0
female,group D,high school,free/reduced,none,39,52,46,63,1.1,45.7
male,group C,some high school,standard,none,64,58,51,70,7.0,57.7
female,group B,high school,free/reduced,completed,23,44,36,76,2.6,34.3
male,group B,some college,free/reduced,completed,74,77,76,94,9.6,75.7
female,group D,some high school,free/reduced,completed,40,65,64,85,2.3,56.3
male,group E,master's degree,standard,none,90,85,84,68,4.7,86.3
male,group C,master's degree,standard,completed,91,85,85,94,1.8,87.0
male,group D,high school,standard,none,64,54,50,70,10.0,56.0
female,group C,high school,standard,none,59,72,68,81,5.5,66.3
male,group D,associate's degree,standard,none,80,75,69,70,6.4,74.7
male,group C,master's degree,standard,none,71,67,67,83,1.6,68.3
female,group A,high school,standard,none,61,68,63,66,7.7,64.0
female,group E,some college,standard,none,87,85,93,79,2.9,88.3
male,group E,some high school,standard,none,82,67,61,75,9.1,70.0
male,group C,some high school,standard,none,62,64,55,72,2.8,60.3
female,group B,bachelor's degree,standard,none,97,97,96,83,2.7,96.7
male,group B,some college,free/reduced,none,75,68,65,72,1.3,69.3
female,group C,bachelor's degree,standard,none,65,79,81,76,5.2,75.0
male,group B,high school,standard,completed,52,49,46,84,6.1,49.0
male,group C,associate's degree,free/reduced,none,87,73,72,65,1.6,77.3
female,group C,associate's degree,standard,none,53,62,53,68,8.0,56.0
female,group E,master's degree,free/reduced,none,81,86,87,78,5.1,84.7
male,group D,bachelor's degree,free/reduced,completed,39,42,38,94,5.7,39.7
female,group C,some college,standard,completed,71,71,80,80,5.0,74.0
male,group C,associate's degree,standard,none,97,93,91,84,4.6,93.7
male,group D,some college,standard,completed,82,82,88,96,6.0,84.0
male,group C,high school,free/reduced,none,59,53,52,71,2.4,54.7
male,group B,associate's degree,standard,none,61,42,41,79,2.6,48.0
male,group E,associate's degree,free/reduced,completed,78,74,72,75,8.8,74.7
male,group C,associate's degree,free/reduced,none,49,51,51,73,9.5,50.3
